[CORESWAP] dll=E:\PYTHON\CoreSwap\versions\1.20.1\cpp\build-msvc\bin\block_probe.exe size=550912
[CORESWAP] crash handler installed
blocks file: magic=0x57474232 seed=8576294172403134396 size=6 origin=(720,-432) minY=-64 height=384
[PROF] chunk(46,-27): density=416.25ms aquifer+oreVein=230.54ms sh4+surface=50.33ms total=697.12ms
[PROF] chunk(45,-26): density=434.02ms aquifer+oreVein=247.87ms sh4+surface=27.43ms total=709.31ms
[PROF] chunk(50,-27): density=416.40ms aquifer+oreVein=246.94ms sh4+surface=56.79ms total=720.12ms
[PROF] chunk(45,-27): density=418.56ms aquifer+oreVein=290.33ms sh4+surface=30.42ms total=739.32ms
[PROF] chunk(47,-27): density=426.86ms aquifer+oreVein=298.51ms sh4+surface=31.20ms total=756.57ms
[PROF] chunk(48,-27): density=421.39ms aquifer+oreVein=303.58ms sh4+surface=35.68ms total=760.65ms
[PROF] chunk(49,-27): density=443.01ms aquifer+oreVein=285.18ms sh4+surface=36.51ms total=764.70ms
[PROF] chunk(46,-26): density=423.70ms aquifer+oreVein=354.50ms sh4+surface=37.71ms total=815.91ms
[PROF] chunk(48,-26): density=432.49ms aquifer+oreVein=223.48ms sh4+surface=29.84ms total=685.80ms
[PROF] chunk(48,-25): density=417.17ms aquifer+oreVein=131.60ms sh4+surface=31.07ms total=579.84ms
[PROF] chunk(49,-26): density=400.10ms aquifer+oreVein=299.66ms sh4+surface=35.88ms total=735.64ms
[PROF] chunk(50,-26): density=411.65ms aquifer+oreVein=335.51ms sh4+surface=52.10ms total=799.26ms
[PROF] chunk(45,-25): density=427.50ms aquifer+oreVein=337.22ms sh4+surface=30.72ms total=795.44ms
[PROF] chunk(47,-25): density=421.96ms aquifer+oreVein=363.57ms sh4+surface=31.75ms total=817.27ms
[PROF] chunk(46,-25): density=390.63ms aquifer+oreVein=404.30ms sh4+surface=30.00ms total=824.93ms
[PROF] chunk(47,-26): density=412.73ms aquifer+oreVein=444.73ms sh4+surface=32.49ms total=889.96ms
[PROF] chunk(49,-25): density=366.25ms aquifer+oreVein=259.08ms sh4+surface=34.95ms total=660.28ms
[PROF] chunk(45,-24): density=378.36ms aquifer+oreVein=249.41ms sh4+surface=28.80ms total=656.57ms
[PROF] chunk(48,-24): density=401.07ms aquifer+oreVein=122.02ms sh4+surface=30.45ms total=553.54ms
[PROF] chunk(50,-25): density=372.68ms aquifer+oreVein=328.62ms sh4+surface=48.64ms total=749.95ms
[PROF] chunk(49,-24): density=408.25ms aquifer+oreVein=136.80ms sh4+surface=30.45ms total=575.50ms
[PROF] chunk(47,-24): density=396.78ms aquifer+oreVein=198.70ms sh4+surface=36.23ms total=631.71ms
[PROF] chunk(46,-24): density=392.86ms aquifer+oreVein=218.45ms sh4+surface=36.61ms total=647.91ms
[PROF] chunk(50,-24): density=415.81ms aquifer+oreVein=191.59ms sh4+surface=46.26ms total=653.66ms
[PROF] chunk(45,-23): density=377.28ms aquifer+oreVein=112.38ms sh4+surface=39.76ms total=529.42ms
[PROF] chunk(46,-23): density=378.38ms aquifer+oreVein=88.31ms sh4+surface=35.23ms total=501.91ms
[PROF] chunk(45,-22): density=407.88ms aquifer+oreVein=125.44ms sh4+surface=34.43ms total=567.76ms
[PROF] chunk(47,-23): density=400.98ms aquifer+oreVein=191.52ms sh4+surface=30.58ms total=623.09ms
[PROF] chunk(48,-23): density=415.79ms aquifer+oreVein=175.93ms sh4+surface=31.70ms total=623.42ms
[PROF] chunk(49,-23): density=425.40ms aquifer+oreVein=179.76ms sh4+surface=34.26ms total=639.42ms
[PROF] chunk(46,-22): density=410.54ms aquifer+oreVein=143.16ms sh4+surface=30.93ms total=584.64ms
[PROF] chunk(50,-23): density=416.22ms aquifer+oreVein=201.02ms sh4+surface=35.13ms total=652.38ms
[PROF] chunk(47,-22): density=276.39ms aquifer+oreVein=85.76ms sh4+surface=21.27ms total=383.42ms
[PROF] chunk(48,-22): density=279.28ms aquifer+oreVein=57.30ms sh4+surface=29.93ms total=366.51ms
[PROF] chunk(49,-22): density=224.44ms aquifer+oreVein=49.76ms sh4+surface=12.06ms total=286.27ms
[PROF] chunk(50,-22): density=225.54ms aquifer+oreVein=45.23ms sh4+surface=11.79ms total=282.56ms
parallel: 36 chunks, 8 threads (arg=8 hw=24), wall=3043.2ms (84.53ms/chunk)
chunk (45,-27): match=98304/98304 (100.00%) nonAir=32787/32787 (100.00%)
chunk (46,-27): match=98304/98304 (100.00%) nonAir=31315/31315 (100.00%)
chunk (47,-27): match=98303/98304 (100.00%) nonAir=34435/34436 (100.00%)
chunk (48,-27): match=98304/98304 (100.00%) nonAir=37815/37815 (100.00%)
chunk (49,-27): match=98303/98304 (100.00%) nonAir=36718/36719 (100.00%)
chunk (50,-27): match=98303/98304 (100.00%) nonAir=36273/36274 (100.00%)
chunk (45,-26): match=98304/98304 (100.00%) nonAir=32407/32407 (100.00%)
chunk (46,-26): match=98301/98304 (100.00%) nonAir=31919/31921 (99.99%)
chunk (47,-26): match=98299/98304 (99.99%) nonAir=29690/29695 (99.98%)
chunk (48,-26): match=98303/98304 (100.00%) nonAir=33998/33999 (100.00%)
chunk (49,-26): match=98304/98304 (100.00%) nonAir=34287/34287 (100.00%)
chunk (50,-26): match=98303/98304 (100.00%) nonAir=34539/34540 (100.00%)
chunk (45,-25): match=98303/98304 (100.00%) nonAir=30774/30775 (100.00%)
chunk (46,-25): match=98304/98304 (100.00%) nonAir=31778/31778 (100.00%)
chunk (47,-25): match=98304/98304 (100.00%) nonAir=32232/32232 (100.00%)
chunk (48,-25): match=98304/98304 (100.00%) nonAir=32503/32503 (100.00%)
chunk (49,-25): match=98304/98304 (100.00%) nonAir=32434/32434 (100.00%)
chunk (50,-25): match=98304/98304 (100.00%) nonAir=32319/32319 (100.00%)
chunk (45,-24): match=98303/98304 (100.00%) nonAir=33499/33500 (100.00%)
chunk (46,-24): match=98304/98304 (100.00%) nonAir=33620/33620 (100.00%)
chunk (47,-24): match=98304/98304 (100.00%) nonAir=33483/33483 (100.00%)
chunk (48,-24): match=98304/98304 (100.00%) nonAir=32625/32625 (100.00%)
chunk (49,-24): match=98304/98304 (100.00%) nonAir=33841/33841 (100.00%)
