[CORESWAP] dll=E:\PYTHON\CoreSwap\versions\1.20.1\cpp\build-msvc\bin\block_probe.exe size=550912
[CORESWAP] crash handler installed
blocks file: magic=0x57474232 seed=8576294172403134396 size=6 origin=(720,-432) minY=-64 height=384
[PROF] chunk(46,-27): density=153.66ms aquifer+oreVein=60.58ms sh4+surface=26.17ms total=240.40ms
[PROF] chunk(45,-27): density=142.68ms aquifer+oreVein=77.88ms sh4+surface=21.22ms total=241.77ms
[PROF] chunk(47,-27): density=85.98ms aquifer+oreVein=83.05ms sh4+surface=9.20ms total=178.23ms
[PROF] chunk(48,-27): density=103.51ms aquifer+oreVein=67.93ms sh4+surface=11.58ms total=183.02ms
[PROF] chunk(49,-27): density=64.95ms aquifer+oreVein=76.82ms sh4+surface=12.08ms total=153.85ms
[PROF] chunk(50,-27): density=92.39ms aquifer+oreVein=43.95ms sh4+surface=21.53ms total=157.87ms
[PROF] chunk(45,-26): density=64.81ms aquifer+oreVein=72.23ms sh4+surface=18.25ms total=155.29ms
[PROF] chunk(46,-26): density=89.86ms aquifer+oreVein=69.53ms sh4+surface=17.47ms total=176.86ms
[PROF] chunk(48,-26): density=94.50ms aquifer+oreVein=46.69ms sh4+surface=9.05ms total=150.23ms
[PROF] chunk(47,-26): density=67.11ms aquifer+oreVein=118.75ms sh4+surface=7.19ms total=193.05ms
[PROF] chunk(49,-26): density=95.29ms aquifer+oreVein=60.56ms sh4+surface=8.84ms total=164.69ms
[PROF] chunk(50,-26): density=76.72ms aquifer+oreVein=81.90ms sh4+surface=15.88ms total=174.50ms
[PROF] chunk(45,-25): density=65.28ms aquifer+oreVein=93.12ms sh4+surface=9.98ms total=168.37ms
[PROF] chunk(46,-25): density=85.00ms aquifer+oreVein=72.39ms sh4+surface=15.13ms total=172.52ms
[PROF] chunk(48,-25): density=86.92ms aquifer+oreVein=29.42ms sh4+surface=12.02ms total=128.36ms
[PROF] chunk(47,-25): density=60.26ms aquifer+oreVein=84.34ms sh4+surface=15.35ms total=159.95ms
[PROF] chunk(49,-25): density=62.98ms aquifer+oreVein=66.21ms sh4+surface=24.93ms total=154.12ms
[PROF] chunk(50,-25): density=83.85ms aquifer+oreVein=66.54ms sh4+surface=44.36ms total=194.75ms
[PROF] chunk(45,-24): density=75.13ms aquifer+oreVein=101.84ms sh4+surface=15.84ms total=192.81ms
[PROF] chunk(46,-24): density=97.98ms aquifer+oreVein=47.50ms sh4+surface=25.53ms total=171.02ms
[PROF] chunk(47,-24): density=86.09ms aquifer+oreVein=92.12ms sh4+surface=11.67ms total=189.88ms
[PROF] chunk(48,-24): density=111.42ms aquifer+oreVein=34.34ms sh4+surface=14.79ms total=160.55ms
