[CORESWAP] dll=E:\PYTHON\CoreSwap\versions\1.20.1\cpp\build-msvc\bin\block_probe.exe size=550912
[CORESWAP] crash handler installed
blocks file: magic=0x57474232 seed=8576294172403134396 size=6 origin=(720,-432) minY=-64 height=384
chunk (45,-23): match=98304/98304 (100.00%) nonAir=34726/34726 (100.00%)
chunk (46,-23): match=98304/98304 (100.00%) nonAir=34508/34508 (100.00%)
chunk (47,-23): match=98304/98304 (100.00%) nonAir=32315/32315 (100.00%)
chunk (48,-23): match=98304/98304 (100.00%) nonAir=31758/31758 (100.00%)
chunk (49,-23): match=98304/98304 (100.00%) nonAir=33178/33178 (100.00%)
chunk (50,-23): match=98300/98304 (100.00%) nonAir=32902/32904 (99.99%)
chunk (45,-22): match=98304/98304 (100.00%) nonAir=34311/34311 (100.00%)
chunk (46,-22): match=98304/98304 (100.00%) nonAir=34101/34101 (100.00%)
chunk (47,-22): match=98304/98304 (100.00%) nonAir=32983/32983 (100.00%)
chunk (48,-22): match=98304/98304 (100.00%) nonAir=35146/35146 (100.00%)
chunk (49,-22): match=98304/98304 (100.00%) nonAir=33739/33739 (100.00%)
chunk (50,-22): match=98302/98304 (100.00%) nonAir=34059/34059 (100.00%)
TOTAL: match=3538922/3538944 (99.9994%) nonAir match=1201917/1201934 (99.9986%)
