24,-12
25,-12
26,-12
24,-11
25,-11
26,-11
24,-10
25,-10
26,-10
21,-12
22,-12
23,-12
21,-11
22,-11
23,-11
21,-10
22,-10
23,-10
21,-15
22,-15
23,-15
21,-14
22,-14
23,-14
21,-13
22,-13
23,-13
27,-15
28,-15
29,-15
27,-14
28,-14
29,-14
27,-13
28,-13
29,-13
27,-12
28,-12
29,-12
27,-11
28,-11
29,-11
27,-10
28,-10
29,-10
21,-18
22,-18
23,-18
21,-17
22,-17
23,-17
21,-16
22,-16
23,-16
24,-18
25,-18
26,-18
24,-17
25,-17
26,-17
24,-16
25,-16
26,-16
27,-18
28,-18
29,-18
27,-17
28,-17
29,-17
27,-16
28,-16
29,-16
24,-9
25,-9
26,-9
24,-8
25,-8
26,-8
24,-7
25,-7
26,-7
27,-9
28,-9
29,-9
27,-8
28,-8
29,-8
27,-7
28,-7
29,-7
21,-9
22,-9
23,-9
21,-8
22,-8
23,-8
21,-7
22,-7
23,-7
18,-12
19,-12
20,-12
18,-11
19,-11
20,-11
18,-10
19,-10
20,-10
18,-15
19,-15
20,-15
18,-14
19,-14
20,-14
18,-13
19,-13
20,-13
18,-18
19,-18
20,-18
18,-17
19,-17
20,-17
18,-16
19,-16
20,-16
30,-18
31,-18
32,-18
30,-17
31,-17
32,-17
30,-16
31,-16
32,-16
30,-15
31,-15
32,-15
30,-14
31,-14
32,-14
30,-13
31,-13
32,-13
30,-12
31,-12
32,-12
30,-11
31,-11
32,-11
30,-10
31,-10
32,-10
30,-9
31,-9
32,-9
30,-8
31,-8
32,-8
30,-7
31,-7
32,-7
18,-9
19,-9
20,-9
18,-8
19,-8
20,-8
18,-7
19,-7
20,-7
18,-21
19,-21
20,-21
18,-20
19,-20
20,-20
18,-19
19,-19
20,-19
21,-21
22,-21
23,-21
21,-20
22,-20
23,-20
21,-19
22,-19
23,-19
24,-21
25,-21
26,-21
24,-20
25,-20
26,-20
24,-19
25,-19
26,-19
27,-21
28,-21
29,-21
27,-20
28,-20
29,-20
27,-19
28,-19
29,-19
30,-21
31,-21
32,-21
30,-20
31,-20
32,-20
30,-19
31,-19
32,-19
24,-6
25,-6
26,-6
24,-5
25,-5
26,-5
24,-4
25,-4
26,-4
27,-6
28,-6
29,-6
27,-5
28,-5
29,-5
27,-4
28,-4
29,-4
30,-6
31,-6
32,-6
30,-5
31,-5
32,-5
30,-4
31,-4
32,-4
21,-6
22,-6
23,-6
21,-5
22,-5
23,-5
21,-4
22,-4
23,-4
18,-6
19,-6
20,-6
18,-5
19,-5
20,-5
18,-4
19,-4
20,-4
15,-15
16,-15
17,-15
15,-14
16,-14
17,-14
15,-13
16,-13
17,-13
15,-12
16,-12
17,-12
15,-11
16,-11
17,-11
15,-10
16,-10
17,-10
15,-18
16,-18
17,-18
15,-17
16,-17
17,-17
15,-16
16,-16
17,-16
15,-21
16,-21
17,-21
15,-20
16,-20
17,-20
15,-19
16,-19
17,-19
33,-15
34,-15
35,-15
33,-14
34,-14
35,-14
33,-13
34,-13
35,-13
33,-12
34,-12
35,-12
33,-11
34,-11
35,-11
33,-10
34,-10
35,-10
33,-9
34,-9
35,-9
33,-8
34,-8
35,-8
33,-7
34,-7
35,-7
33,-18
34,-18
35,-18
33,-17
34,-17
35,-17
33,-16
34,-16
35,-16
33,-21
34,-21
35,-21
33,-20
34,-20
35,-20
33,-19
34,-19
35,-19
15,-9
16,-9
17,-9
15,-8
16,-8
17,-8
15,-7
16,-7
17,-7
15,-6
16,-6
17,-6
15,-5
16,-5
17,-5
15,-4
16,-4
17,-4
33,-6
34,-6
35,-6
33,-5
34,-5
35,-5
33,-4
34,-4
35,-4
27,-24
28,-24
29,-24
27,-23
28,-23
29,-23
27,-22
28,-22
29,-22
24,-24
25,-24
26,-24
24,-23
25,-23
26,-23
24,-22
25,-22
26,-22
21,-24
22,-24
23,-24
21,-23
22,-23
23,-23
21,-22
22,-22
23,-22
18,-24
19,-24
20,-24
18,-23
19,-23
20,-23
18,-22
19,-22
20,-22
30,-24
31,-24
32,-24
30,-23
31,-23
32,-23
30,-22
31,-22
32,-22
33,-24
34,-24
35,-24
33,-23
34,-23
35,-23
33,-22
34,-22
35,-22
15,-24
16,-24
17,-24
15,-23
16,-23
17,-23
15,-22
16,-22
17,-22
198,198
199,198
200,198
198,199
199,199
200,199
198,200
199,200
200,200
201,198
202,198
203,198
201,199
202,199
203,199
201,200
202,200
203,200
201,201
202,201
203,201
201,202
202,202
203,202
201,203
202,203
203,203
198,201
199,201
200,201
198,202
199,202
200,202
198,203
199,203
200,203
201,195
202,195
203,195
201,196
202,196
203,196
201,197
202,197
203,197
198,195
199,195
200,195
198,196
199,196
200,196
198,197
199,197
200,197
195,198
196,198
197,198
195,199
196,199
197,199
195,200
196,200
197,200
195,201
196,201
197,201
195,202
196,202
197,202
195,203
196,203
197,203
195,195
196,195
197,195
195,196
196,196
197,196
195,197
196,197
197,197
204,195
205,195
206,195
204,196
205,196
206,196
204,197
205,197
206,197
204,198
205,198
206,198
204,199
205,199
206,199
204,200
205,200
206,200
204,201
205,201
206,201
204,202
205,202
206,202
204,203
205,203
206,203
195,204
196,204
197,204
195,205
196,205
197,205
195,206
196,206
197,206
198,204
199,204
200,204
198,205
199,205
200,205
198,206
199,206
200,206
201,204
202,204
203,204
201,205
202,205
203,205
201,206
202,206
203,206
204,204
205,204
206,204
204,205
205,205
206,205
204,206
205,206
206,206
204,192
205,192
206,192
204,193
205,193
206,193
204,194
205,194
206,194
201,192
202,192
203,192
201,193
202,193
203,193
201,194
202,194
203,194
198,192
199,192
200,192
198,193
199,193
200,193
198,194
199,194
200,194
195,192
196,192
197,192
195,193
196,193
197,193
195,194
196,194
197,194
192,204
193,204
194,204
192,205
193,205
194,205
192,206
193,206
194,206
192,198
193,198
194,198
192,199
193,199
194,199
192,200
193,200
194,200
192,201
193,201
194,201
192,202
193,202
194,202
192,203
193,203
194,203
192,195
193,195
194,195
192,196
193,196
194,196
192,197
193,197
194,197
192,192
193,192
194,192
192,193
193,193
194,193
192,194
193,194
194,194
195,207
196,207
197,207
195,208
196,208
197,208
195,209
196,209
197,209
207,201
208,201
209,201
207,202
208,202
209,202
207,203
208,203
209,203
192,207
193,207
194,207
192,208
193,208
194,208
192,209
193,209
194,209
204,207
205,207
206,207
204,208
205,208
206,208
204,209
205,209
206,209
198,207
199,207
200,207
198,208
199,208
200,208
198,209
199,209
200,209
201,207
202,207
203,207
201,208
202,208
203,208
201,209
202,209
203,209
207,204
208,204
209,204
207,205
208,205
209,205
207,206
208,206
209,206
207,198
208,198
209,198
207,199
208,199
209,199
207,200
208,200
209,200
207,195
208,195
209,195
207,196
208,196
209,196
207,197
208,197
209,197
207,192
208,192
209,192
207,193
208,193
209,193
207,194
208,194
209,194
207,207
208,207
209,207
207,208
208,208
209,208
207,209
208,209
209,209
204,189
205,189
206,189
204,190
205,190
206,190
204,191
205,191
206,191
198,189
199,189
200,189
198,190
199,190
200,190
198,191
199,191
200,191
201,189
202,189
203,189
201,190
202,190
203,190
201,191
202,191
203,191
189,207
190,207
191,207
189,208
190,208
191,208
189,209
190,209
191,209
189,198
190,198
191,198
189,199
190,199
191,199
189,200
190,200
191,200
189,204
190,204
191,204
189,205
190,205
191,205
189,206
190,206
191,206
189,201
190,201
191,201
189,202
190,202
191,202
189,203
190,203
191,203
195,189
196,189
197,189
195,190
196,190
197,190
195,191
196,191
197,191
192,189
193,189
194,189
192,190
193,190
194,190
192,191
193,191
194,191
207,189
208,189
209,189
207,190
208,190
209,190
207,191
208,191
209,191
189,195
190,195
191,195
189,196
190,196
191,196
189,197
190,197
191,197
189,192
190,192
191,192
189,193
190,193
191,193
189,194
190,194
191,194
189,189
190,189
191,189
189,190
190,190
191,190
189,191
190,191
191,191
216,198
217,198
218,198
216,199
217,199
218,199
216,200
217,200
218,200
219,198
220,198
221,198
219,199
220,199
221,199
219,200
220,200
221,200
222,198
223,198
224,198
222,199
223,199
224,199
222,200
223,200
224,200
222,201
223,201
224,201
222,202
223,202
224,202
222,203
223,203
224,203
225,198
226,198
227,198
225,199
226,199
227,199
225,200
226,200
227,200
225,201
226,201
227,201
225,202
226,202
227,202
225,203
226,203
227,203
219,201
220,201
221,201
219,202
220,202
221,202
219,203
220,203
221,203
216,201
217,201
218,201
216,202
217,202
218,202
216,203
217,203
218,203
213,198
214,198
215,198
213,199
214,199
215,199
213,200
214,200
215,200
213,201
214,201
215,201
213,202
214,202
215,202
213,203
214,203
215,203
219,195
220,195
221,195
219,196
220,196
221,196
219,197
220,197
221,197
222,195
223,195
224,195
222,196
223,196
224,196
222,197
223,197
224,197
225,195
226,195
227,195
225,196
226,196
227,196
225,197
226,197
227,197
219,204
220,204
221,204
219,205
220,205
221,205
219,206
220,206
221,206
225,204
226,204
227,204
225,205
226,205
227,205
225,206
226,206
227,206
216,195
217,195
218,195
216,196
217,196
218,196
216,197
217,197
218,197
222,204
223,204
224,204
222,205
223,205
224,205
222,206
223,206
224,206
216,204
217,204
218,204
216,205
217,205
218,205
216,206
217,206
218,206
228,204
229,204
230,204
228,205
229,205
230,205
228,206
229,206
230,206
228,201
229,201
230,201
228,202
229,202
230,202
228,203
229,203
230,203
213,195
214,195
215,195
213,196
214,196
215,196
213,197
214,197
215,197
228,198
229,198
230,198
228,199
229,199
230,199
228,200
229,200
230,200
228,195
229,195
230,195
228,196
229,196
230,196
228,197
229,197
230,197
213,204
214,204
215,204
213,205
214,205
215,205
213,206
214,206
215,206
216,192
217,192
218,192
216,193
217,193
218,193
216,194
217,194
218,194
228,192
229,192
230,192
228,193
229,193
230,193
228,194
229,194
230,194
219,192
220,192
221,192
219,193
220,193
221,193
219,194
220,194
221,194
222,192
223,192
224,192
222,193
223,193
224,193
222,194
223,194
224,194
225,192
226,192
227,192
225,193
226,193
227,193
225,194
226,194
227,194
216,207
217,207
218,207
216,208
217,208
218,208
216,209
217,209
218,209
219,207
220,207
221,207
219,208
220,208
221,208
219,209
220,209
221,209
222,207
223,207
224,207
222,208
223,208
224,208
222,209
223,209
224,209
225,207
226,207
227,207
225,208
226,208
227,208
