[CORESWAP] dll=E:\PYTHON\CoreSwap\versions\1.20.1\cpp\build-msvc\bin\block_probe.exe size=373248
[CORESWAP] crash handler installed
blocks file: magic=0x57474232 seed=-8248318472910187742 size=4 origin=(-288,-256) minY=-64 height=384
[OCT] fo=-8 i=2 oct=-6 freq=0.015625 raw=0.084338 amp=2.000 persist=0.1252 contrib=0.021126
[OCT] fo=-8 i=3 oct=-5 freq=0.031250 raw=0.395637 amp=1.000 persist=0.0626 contrib=0.024776
[OCT] fo=-8 i=4 oct=-4 freq=0.062500 raw=-0.157761 amp=2.000 persist=0.0313 contrib=-0.009879
[OCT] fo=-8 i=5 oct=-3 freq=0.125000 raw=-0.093300 amp=1.000 persist=0.0157 contrib=-0.001461
[OCT] fo=-8 i=7 oct=-1 freq=0.500000 raw=-0.308379 amp=2.000 persist=0.0039 contrib=-0.002414
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.175231 amp=1.000 persist=1.0000 contrib=0.175231
[NOODLE] (-278,4,-240) raw_n=-0.389255 raw_t=0.234991 raw_a=-0.751713 raw_b=0.167488 raw_cheese=0.476105 raw_layer=0.298973 tree=64.000000
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=-0.471893 amp=1.000 persist=1.0000 contrib=-0.471893
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.361739 amp=1.000 persist=1.0000 contrib=0.361739
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.479253 amp=0.500 persist=0.5010 contrib=0.120048
[OCT] fo=-8 i=1 oct=-7 freq=0.007812 raw=0.174216 amp=1.000 persist=0.2505 contrib=0.043639
[OCT] fo=-8 i=2 oct=-6 freq=0.015625 raw=0.087190 amp=2.000 persist=0.1252 contrib=0.021840
[OCT] fo=-8 i=3 oct=-5 freq=0.031250 raw=0.375117 amp=1.000 persist=0.0626 contrib=0.023491
[OCT] fo=-8 i=4 oct=-4 freq=0.062500 raw=-0.204189 amp=2.000 persist=0.0313 contrib=-0.012787
[OCT] fo=-8 i=5 oct=-3 freq=0.125000 raw=-0.036311 amp=1.000 persist=0.0157 contrib=-0.000568
[OCT] fo=-8 i=7 oct=-1 freq=0.500000 raw=-0.063721 amp=2.000 persist=0.0039 contrib=-0.000499
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.222549 amp=1.000 persist=1.0000 contrib=0.222549
[NOODLE] (-278,5,-240) raw_n=-0.390330 raw_t=0.235978 raw_a=-0.746832 raw_b=0.144489 raw_cheese=0.472941 raw_layer=0.334956 tree=64.000000
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=-0.474662 amp=1.000 persist=1.0000 contrib=-0.474662
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.363465 amp=1.000 persist=1.0000 contrib=0.363465
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.477384 amp=0.500 persist=0.5010 contrib=0.119580
[OCT] fo=-8 i=1 oct=-7 freq=0.007812 raw=0.170746 amp=1.000 persist=0.2505 contrib=0.042770
[OCT] fo=-8 i=2 oct=-6 freq=0.015625 raw=0.089671 amp=2.000 persist=0.1252 contrib=0.022462
[OCT] fo=-8 i=3 oct=-5 freq=0.031250 raw=0.353476 amp=1.000 persist=0.0626 contrib=0.022135
[OCT] fo=-8 i=4 oct=-4 freq=0.062500 raw=-0.251351 amp=2.000 persist=0.0313 contrib=-0.015740
[OCT] fo=-8 i=5 oct=-3 freq=0.125000 raw=-0.000398 amp=1.000 persist=0.0157 contrib=-0.000006
[OCT] fo=-8 i=7 oct=-1 freq=0.500000 raw=-0.012431 amp=2.000 persist=0.0039 contrib=-0.000097
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.268636 amp=1.000 persist=1.0000 contrib=0.268636
[NOODLE] (-278,6,-240) raw_n=-0.391308 raw_t=0.236906 raw_a=-0.738783 raw_b=0.120443 raw_cheese=0.471882 raw_layer=0.372608 tree=64.000000
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=-0.477312 amp=1.000 persist=1.0000 contrib=-0.477312
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.365094 amp=1.000 persist=1.0000 contrib=0.365094
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.475503 amp=0.500 persist=0.5010 contrib=0.119108
[OCT] fo=-8 i=1 oct=-7 freq=0.007812 raw=0.167143 amp=1.000 persist=0.2505 contrib=0.041868
[OCT] fo=-8 i=2 oct=-6 freq=0.015625 raw=0.091799 amp=2.000 persist=0.1252 contrib=0.022995
[OCT] fo=-8 i=3 oct=-5 freq=0.031250 raw=0.330928 amp=1.000 persist=0.0626 contrib=0.020724
[OCT] fo=-8 i=4 oct=-4 freq=0.062500 raw=-0.297897 amp=2.000 persist=0.0313 contrib=-0.018655
[OCT] fo=-8 i=5 oct=-3 freq=0.125000 raw=0.011913 amp=1.000 persist=0.0157 contrib=0.000187
[OCT] fo=-8 i=7 oct=-1 freq=0.500000 raw=-0.071163 amp=2.000 persist=0.0039 contrib=-0.000557
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.312550 amp=1.000 persist=1.0000 contrib=0.312550
[NOODLE] (-278,7,-240) raw_n=-0.392189 raw_t=0.237775 raw_a=-0.727707 raw_b=0.095625 raw_cheese=0.465221 raw_layer=0.411119 tree=64.000000
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=-0.479841 amp=1.000 persist=1.0000 contrib=-0.479841
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.366625 amp=1.000 persist=1.0000 contrib=0.366625
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.473610 amp=0.500 persist=0.5010 contrib=0.118634
[OCT] fo=-8 i=1 oct=-7 freq=0.007812 raw=0.163411 amp=1.000 persist=0.2505 contrib=0.040933
[OCT] fo=-8 i=2 oct=-6 freq=0.015625 raw=0.093595 amp=2.000 persist=0.1252 contrib=0.023445
[OCT] fo=-8 i=3 oct=-5 freq=0.031250 raw=0.307704 amp=1.000 persist=0.0626 contrib=0.019269
[OCT] fo=-8 i=4 oct=-4 freq=0.062500 raw=-0.342271 amp=2.000 persist=0.0313 contrib=-0.021434
[OCT] fo=-8 i=5 oct=-3 freq=0.125000 raw=0.002617 amp=1.000 persist=0.0157 contrib=0.000041
[OCT] fo=-8 i=7 oct=-1 freq=0.500000 raw=0.096476 amp=2.000 persist=0.0039 contrib=0.000755
