[OK] cpp=1152 java=1248 common=1152 diff>1e-5=405
[DIFF] continents y=144 cpp=-0.205657 java=-0.207208 diff=0.0015509999999999968
[DIFF] continents y=148 cpp=-0.205657 java=-0.207208 diff=0.0015509999999999968
[DIFF] continents y=152 cpp=-0.205657 java=-0.207208 diff=0.0015509999999999968
[DIFF] continents y=156 cpp=-0.205657 java=-0.207208 diff=0.0015509999999999968
[DIFF] continents y=160 cpp=-0.205657 java=-0.207208 diff=0.0015509999999999968
[DIFF] continents y=164 cpp=-0.205657 java=-0.207208 diff=0.0015509999999999968
[DIFF] continents y=168 cpp=-0.205657 java=-0.207208 diff=0.0015509999999999968
[DIFF] continents y=172 cpp=-0.205657 java=-0.207208 diff=0.0015509999999999968
[DIFF] continents y=176 cpp=-0.205657 java=-0.207208 diff=0.0015509999999999968
[DIFF] continents y=180 cpp=-0.205657 java=-0.207208 diff=0.0015509999999999968
